clean_text,novelty tier
logaided automatic query expansion approach based topic modeling base query having plurality base query terms obtained plurality problem log files accessed words contained corpus vocabulary extracted plurality problem log files based words extracted plurality problem log files first expanded query generated base query corpus queried via query engine corpus index second expanded query related first expanded query 1 method comprising steps obtaining base query having plurality base query terms accessing plurality problem log files extracting words contained corpus vocabulary said plurality problem log files based said words extracted said plurality problem log files generating first expanded query said base query querying said corpus via query engine corpus index second expanded query related said first expanded query 2 method claim 1 further comprising determining none said query terms said corpus vocabulary wherein said generating comprises responsive said determining none said query terms said corpus vocabulary picking one more most recent ones said words extracted said plurality problem log files having highest relevance single topic cluster said log files based topic model said corpus replacing said base query least one said words having said highest relevance obtain said first expanded query 3 method claim 2 wherein said picking comprises selecting given ones said words most recent selection time window identifying topics highest relevance said given ones said words identifying topic clusters which contain said topics selecting most frequent one said topic clusters selecting given ones said words highest relevance said topics said topic cluster 4 method claim 3 wherein said topic clustering comprises analyzing said log files extract said words belonging said corpus vocabulary grouping said words belonging said corpus vocabulary measurement time window mapping each word said group said words most relevant topic said topic model said corpus forming optimal set clusters said set topics appearing each said group 5 method claim 4 wherein said second expanded query identical said first expanded query 6 method claim 4 wherein said first expanded query plurality first expanded query terms wherein said second expanded query derived said first expanded query using said topic model said corpus generating topic each said first expanded query terms obtain plurality generated topics each given one said plurality generated topics generating candidate word said vocabulary adding one more said generated candidate words said first expanded query obtain said second expanded query said generated candidate words added said first expanded query having highest value conditional probability given said first expanded query exceeding second threshold 7 nontransitory computer readable medium comprising computer executable instructions which when executed computer cause computer perform method obtaining base query having plurality base query terms accessing plurality problem log files extracting words contained corpus vocabulary said plurality problem log files based said words extracted said plurality problem log files generating first expanded query said base query querying said corpus via query engine corpus index second expanded query related said first expanded query 8 nontransitory computer readable medium claim 7 wherein said instructions when executed said computer further cause said computer perform additional method step determining none said query terms said corpus vocabulary wherein said generating comprises responsive said determining none said query terms said corpus vocabulary picking one more most recent ones said words extracted said plurality problem log files having highest relevance single topic cluster said log files based topic model said corpus replacing said base query least one said words having said highest relevance obtain said first expanded query 9 apparatus comprising memory least one processor coupled said memory nontransitory computer readable medium comprising computer executable instructions which when loaded said memory configure said least one processor obtain base query having plurality base query terms access plurality problem log files extract words contained corpus vocabulary said plurality problem log files based said words extracted said plurality problem log files generate first expanded query said base query query said corpus via query engine corpus index second expanded query related said first expanded query 10 apparatus claim 9 wherein said instructions further configure said least one processor determine none said query terms said corpus vocabulary wherein said generating comprises responsive said determining none said query terms said corpus vocabulary picking one more most recent ones said words extracted said plurality problem log files having highest relevance single topic cluster said log files based topic model said corpus replacing said base query least one said words having said highest relevance obtain said first expanded query,1
power management deepdischarge protection powersaving control device batteryoperated operating table related tables methods control device include two microprocessors controlling operating table input device may send instructions microprocessors via input channel control device may least sleep state check state active state typically sleep state first microprocessor monitors input channel input device second microprocessor off upon receipt instruction control device switches sleep state check state order check whether instruction includes valid wakeup signal may include determining whether instruction includes address batteryoperated operating table when valid wakeup signal received control device active state where typically both microprocessors active 1 control device batteryoperated operating table control device comprising least two microprocessors controlling components batteryoperated operating table input channel receiving instructions input device control device having sleep state check state active state control device configured sleep state thereof first microprocessor idle state first microprocessor monitors input channel input device second microprocessor off first microprocessor further configured upon receipt instruction via input channel switch control device sleep state check state order check whether instruction includes valid wakeup signal control apparatus adapted wherein checking includes determining whether instruction includes address batteryoperated operating table when valid wakeup signal received set control device active state wherein first microprocessor second microprocessor both active active state 2 control apparatus according claim 1 wherein first second microprocessors coupled respectively mastersupervisor structure 3 control apparatus according claim 1 wherein first microprocessor comprises powersaving circuit configured power consumption first microprocessor lower idle state compared active state 4 control apparatus according claim 1 further comprising least one connection connecting least one battery powering batteryoperated table electromechanical switch means which connection least one battery electrically disconnected control apparatus prevent further drain least one battery 5 control apparatus according claim 4 control apparatus configured wherein connection least one battery automatically electrically disconnected control apparatus means electromechanical switch i predetermined period time since most recent charge andor ii when battery discharged below predetermined voltage value 6 batteryoperated operating table comprising control apparatus according claim 1 least one table surface holding patient thereon least one battery 7 batteryoperated operating table comprising control apparatus according claim 1 least one table surface holding patient thereon battery input device least one motor connected battery least one motor configured least one i raise lower table surface andor ii change orientation table surface andor iii move one more sections table surface respect other sections table surface thereby change overall shape table surface 8 batteryoperated operating table comprising control apparatus according claim 1 least one table surface holding patient thereon battery least one connected battery least one motor configured least one i raise lower table surface andor ii change orientation table surface andor iii move one more sections table surface respect other sections table surface change overall shape table surface wherein least one input device comprises user controls adjusting table surface using least one motor control apparatus configured wherein instructions input device adjust table surface using least one motor constitutes valid wakeup signal 9 method operating batteryoperated operating table comprising providing batteryoperated operating table claim 7 control device initially sleep state thereof receiving input input device input device response sending instruction least first microprocessor via input channel first microprocessor idle state monitoring input channel receiving instruction first microprocessor determining instruction comprises address batteryoperated operating table response determination further determining instruction includes valid wakeup signal response determining instruction includes valid wakeup signal setting control device active state first processor second processor both active 10 method operating batteryoperated operating table comprising providing batteryoperated operating table claim 7 control device initially sleep state thereof receiving input input device input comprising command adjust table surface using least one motor input device response sending instruction least first microprocessor first microprocessor idle state monitoring input channel receiving instruction first microprocessor determining instruction comprises address batteryoperated operating table response determination further determining instruction includes valid wakeup signal response determining instruction includes valid wakeup signal setting control device active state second processor active control device active state moving table surface using least one motor 11 control apparatus according claim 1 further comprising least one input device adapted send instructions least one microprocessors means input channel 12 batteryoperated operating table comprising one more plates supporting patient thereon motor motor positioned least one lifting tilting repositioning one more support plates battery control device control device comprising least two microprocessors controlling components batteryoperated operating table least one input device adapted send instructions least one microprocessors means input channel control device having sleep state check state active state control device configured sleep state thereof first microprocessor idle state first microprocessor monitors input channel input device second microprocessor off first microprocessor further configured upon receipt instruction input device switch control device sleep state check state order check whether instruction includes valid wakeup signal control apparatus configured wherein said check state includes determining whether instruction includes valid wakeup signal when valid wakeup signal received set control device active state wherein second microprocessor active active state 13 batteryoperated table claim 12 control device configured wherein determining instruction includes valid wakeup signal includes confirming instruction includes address batteryoperated operating table 14 batteryoperated table claim 12 wherein plurality plates include separately movable leg plates 15 batteryoperated table claim 12 comprising least one motor connected battery least one motor configured least one i collectively raise lower one more plates andor ii collectively tilt one more plates andor iii change orientation one more plates respect one more other plates 16 batteryoperated table claim 12 comprising electromechanical switch electromechanical switch positioned controlling electrical connection between control device battery batteryoperated table configured wherein electromechanical switch disconnects control device battery response least one passage predetermined period time since most recent charge battery andor battery discharging below predetermined voltage value 17 method operating batteryoperated operating table comprising providing batteryoperated operating table claim 12 control device initially sleep state thereof receiving input input device input device response sending instruction least first microprocessor first microprocessor idle state monitoring input channel receiving instruction first microprocessor determining instruction comprises valid wakeup signal response determining instruction include valid wakeup signal setting control device active state first processor second processor both active 18 method operating batteryoperated operating table claim 17 wherein step determining instruction includes valid wakeup signal further comprises determining instruction includes address batteryoperated operating table 19 method operating batteryoperated operating table comprising providing batteryoperated operating table claim 12 control device initially sleep state thereof receiving input input device input comprising command adjust configuration operating table using least one motor input device response sending instruction least first microprocessor first microprocessor idle state monitoring input channel receiving instruction first microprocessor determining instruction includes valid wakeup signal response determining instruction includes valid wakeup signal setting control device active state first processor second processor both active control device active state moving one more plates batteryoperated operating table using least one motor 20 control device batteryoperated operating table control device comprising least two microprocessors controlling components batteryoperated operating table control device having sleep state check state active state control device configured sleep state thereof first microprocessor idle state first microprocessor monitors input channel second microprocessor off first microprocessor further configured upon receipt instruction via input channel switch control device sleep state check state order check whether instruction includes valid wakeup signal control apparatus adapted wherein checking includes determining whether instruction includes valid wakeup signal when valid wakeup signal received set control device active state wherein second microprocessor active active state,0
remote monitoring dynamic document management systems methods systems methods computerreadable media disclosed remote monitoring dynamic document management example methods may include receiving first document device driver associated hardware device identifying clinical trial identifier associated first document based least part metadata associated first document determining first document type first document analyzing contents first document methods may include managing user permission access first document methods may further include identifying folder associated clinical trial identifier which store first document based least part first document type assigning first document state first document based least part first document type first document 1 method comprising receiving computer system comprising one more computer processors coupled least one memory first document managing computer system user permission access first document identifying computer system clinical trial identifier associated first document based least part metadata associated first document determining computer system first document type first document analyzing contents first document identifying computer system folder associated clinical trial identifier which store first document based least part first document type assigning computer system first document state first document based least part first document type first document 2 method claim 1 further comprising determining computer system execution first document required based least part first document type one more rules associated first document type determining computer system first document unexecuted based least part first document state sending computer system request execution first user account associated clinical trial identifier 3 method claim 2 further comprising receiving computer system execution notification indicating first document executed assigning computer system second document state first document 4 method claim 3 further comprising upon determining first document second document state sending computer system finalized notification second user account indicating first document available review 5 method claim 1 further comprising receiving computer system access request access first document identifying computer system user account associated access request determining computer system user account authorized access first document 6 method claim 5 wherein first document comprises first page second page method further comprises receiving computer system redaction request comprising selection portion first page redaction determining computer system user account authorized redact first document redacting computer system selected portion first page document determining set coordinates associated selected portion identifying computer system set coordinates second page first document automatically redacting computer system second page first document based least part identified set coordinates 7 method claim 1 further comprising automatically redacting computer system portion first document based least part document type document source 8 method claim 1 further comprising extracting computer system portion first document based least part document type generate extracted content associating computer system one more tags extracted content wherein one more tags comprise least one access permission rule document category indication storing computer system extracted content one more tags folder 9 method claim 1 further comprising receiving computer system task request first user account wherein task request comprises patient identifier determining computer system second document type associated task request determining computer system task request associated clinical trial identifier adding computer system task request task queue associated clinical trial identifier patient identifier assigning computer system first task status identifier task request indicating task request unaddressed receiving computer system second document response task request preventing computer system first user account accessing second document based least part first task status identifier 10 method claim 9 further comprising determining computer system second document matches second document type associating computer system second document task request assigning second task status identifier task request indicating task request addressed facilitating computer system access second document first user account based least part second task status identifier generating computer system responsiveness metric associated clinical trial identifier based least part elapsed time between task request receiving second document 11 method claim 1 further comprising identifying computer system user account associated first document wherein clinical trial identifier folder identified based least part user account 12 method claim 1 wherein first document received device driver associated hardware device 13 method claim 12 wherein either i device driver printer driver associated remote computer ii hardware device fax machine clinical trial identifier identified based least part telephone number associated fax machine 14 method claim 12 wherein first document image document generated device driver image comprises metadata 15 method claim 1 further comprising determining computer system first text included first document redacting computer system portion first document generate second document determining second text included second document determining set redacted text based least part comparison first text second text removing set redacted text metadata associated second document 16 method comprising receiving computer system comprising one more computer processors coupled least one memory first email first user account first email comprising text attached file managing computer system user permission access first email identifying computer system clinical trial identifier associated first email based least part first user account text attached file storing computer system copy first email folder associated clinical trial identifier identifying computer system second user account indicative intended recipient first email identifying computer system email address associated second user account forwarding computer system first email email address 17 method claim 16 further comprising receiving computer system second email email address second user account determining computer system second email reply first email storing computer system second email folder forwarding computer system second email first user account 18 system comprising least one memory storing computerexecutable instructions least one processor communicatively coupled least one memory display configured access least one memory execute computerexecutable instructions receive first document device driver associated hardware device manage user permission access first document identify clinical trial identifier associated first document based least part metadata associated first document determine first document type first document analyzing contents first document identify folder associated clinical trial identifier which store first document based least part first document type assign first document state first document based least part first document type first document 19 system claim 18 wherein least one processor further configured execute computerexecutable instructions determine execution first document required based least part first document type one more rules associated first document type determine first document unexecuted based least part first document state send request execution first user account associated clinical trial identifier receive execution notification indicating first document executed assign second document state first document 20 system claim 18 wherein least one processor further configured execute computerexecutable instructions identify folder associated first document cloudbased server determine previous version first document stored folder replace previous version first document,0
gesture recognition cloud command platform system method apparatus systems methods described herein transmitting command remote system processing system determines identity user based unique identifier biometric information thereafter sensor detects gesture performed user sensor configured detect gesture performed user when user located within detectable range wireless antenna processing system determines action associated detected gesture based identity user sends command remote computer system cause perform action associated detected gesture 121 canceled 22 computerimplemented method comprising detecting via sensor biometric information plurality customers located within detectable range sensor wherein sensor configured detect biometric information each plurality customers when plurality customers located within detectable range sensor determining using processing system identity user based detected biometric information wherein least portion detected biometric information matches biometric parameters user determining identity user detecting via sensor gesture performed user wherein gesture directed item located within detectable range sensor identifying using processing system action associated detected gesture within userdefined gesture table based identity user sending using processing system command remote computer system command instructing remote computer system perform action item action corresponding detected gesture userdefined gesture table 23 computerimplemented method claim 22 further comprising providing checkin information processing system before determining using processing system identity user based detected biometric information 24 computerimplemented method claim 23 further comprising determining unique identifier user based biometric information checkin information 25 computerimplemented method claim 24 wherein checkin information associated user checkin information detected processing system mobile device associated user 26 computerimplemented method claim 25 further comprising confirming identity user based combination detected biometric information checkin information 27 computerimplemented method claim 22 further comprising modifying account data user corresponding unique identifier response remote computer system performing action item 28 computerimplemented method claim 22 further comprising determining identity user determining location user within store store including sensor 29 computerimplemented system comprising memory one more processors disposed communication memory configured issue processing instructions stored memory detect via sensor biometric information plurality customers located within detectable range sensor wherein sensor configured detect biometric information each plurality customers when plurality customers located within detectable range sensor determine using processing system identity user based detected biometric information wherein least portion detected biometric information matches biometric parameters user issuing processing instructions determine identity user detect via sensor gesture performed user wherein gesture directed item located within detectable range sensor identify using processing system action associated detected gesture within userdefined gesture table based identity user send using processing system command remote computer system command instructing remote computer system perform action item action corresponding detected gesture userdefined gesture table 30 computerimplemented system claim 29 further comprising processing instructions provide checkin information processing system before issuing processing instructions determine using processing system identity user based detected biometric information 31 computerimplemented system claim 29 further comprising processing instructions provide checkin information processing system before issuing processing instructions determine using processing system identity user based detected biometric information 32 computerimplemented system claim 31 wherein checkin information associated user processing instructions provide checkin information processing system include processing instructions provide checkin information processing system mobile device associated user 33 computerimplemented system claim 32 further comprising processing instructions confirm identity user based combination biometric information checkin information 34 computerimplemented system claim 29 further comprising processing instructions modify account data user response remote computer system performing action item 35 computerimplemented system claim 29 further comprising processing instructions determine location user within store store including sensor issuing processing instructions determine identity user 36 processorreadable nontransitory medium storing processorissuable instructions said instructions configured detect via sensor biometric information plurality customers located within detectable range sensor wherein sensor configured detect biometric information each plurality customers when plurality customers located within detectable range sensor determine using processing system identity user based detected biometric information wherein least portion detected biometric information matches biometric parameters user detect via sensor gesture performed user determining identity user wherein gesture directed item located within detectable range sensor identify using processing system action associated detected gesture within userdefined gesture table based identity user send using processing system command remote computer system command instructing remote computer system perform action item action corresponding detected gesture userdefined gesture table 37 processorreadable nontransitory medium 36 further comprising instructions configured provide checkin information processing system response instruction determine using processing system identity user based detected biometric information 38 processorreadable nontransitory medium claim 37 further comprising instructions configured determine unique identifier user based biometric information checkin information wherein checkin information associated user checkin information detected processing system mobile device associated user 39 processorreadable nontransitory medium claim 38 further comprising instructions configured confirm identity user based combination detected biometric information checkin information 40 processorreadable nontransitory medium claim 36 further comprising instructions modify account data user corresponding unique identifier response remote computer system performing action item 41 processorreadable nontransitory medium claim 36 further comprising instructions determine location user within store response instructions determine identity user store including sensor,3
system method copy write ssd techniques improved copy write functionality within ssd disclosed some embodiments techniques may realized method providing improved copy write functionality within ssd including providing memory device indirection data structure data structure may include master entry cloned data master entry having reference one more indexes clone entry cloned data cloned entry having least one reference master index reference next index value indicating end data structure techniques may include traversing using computer processor one more copies cloned data using one more references 1 method improved copy write functionality within ssd comprising creating master centry wherein master centry contains lbas mapped plurality physical addresses wherein master centry contains actual mappings less all plurality physical addresses creating clone centry wherein clone centry contains lbas mapped less all plurality physical addresses wherein clone centry maps least one physical address plurality physical addresses matches physical address actually mapped master centry wherein clone centry maps least one physical address plurality physical addresses not actually mapped master centry 2 method claim 1 further comprising assigning block indicate master index 3 method claim 2 further comprising assigning block indicate next index 4 method claim 1 wherein creating master centry creating clone centry implemented flat indirection system 5 method claim 4 wherein flat indirection system indirection data structure entries 6 method claim 5 wherein indirection data structure entry clone tracking bit 7 method claim 6 wherein clone tracking bit set 1 indicate particular packed logical block master copy 8 method improved copy write functionality within ssd comprising determining clone entry cloned data only clone entry wherein determination comprises determining reference next index cloned entry matches reference master index cloned entry determining reference next index master entry points clone entry uncloning clone entry cloned data replacing reference next index located first subentry plb replacing reference master index located second subentry plb uncloning master entry cloned data replacing reference next index located third subentry plb replacing reference master index located fourth subentry plb wherein each plb comprises map logical block addresses lbas physical address 9 method claim 8 wherein references comprise entries flat indirection table logical block addressing 10 method claim 8 wherein references comprise entries tree data structure logical block addressing 11 method claim 8 further comprising setting indicator one more packed logical blocks located master entry cloned entry indicate one more packed logical blocks cloned 12 method claim 8 wherein reference master index master entry points master entry 13 method claim 8 wherein reference master index cloned entry points master entry 14 method claim 8 wherein reference next index last cloned entry data structure points master entry 15 method claim 8 further comprising determining clone entry cloned data one plurality clone entries wherein determination comprises determining least one reference next index cloned entry not match reference master index cloned entry reference next index master entry not point clone entry cloned data uncloning clone entry cloned data setting reference next index prior clone entry plurality clone entries equal reference next index cloned entry cloned data 16 method claim 8 further comprising reviewing fifth subentry indirection data structure during garbage collection process determining fifth subentry contains cloned indicator determining fifth subentry garbage collection process valid subentry not deleted based upon determination fifth subentry contains cloned indicator 17 computer program product embodied nontransitory computer readable medium comprised series instructions executable computer computer program product performing process providing improved copy write functionality within ssd computer program implementing steps determining clone entry cloned data only clone entry wherein determination comprises determining reference next index cloned entry matches reference master index cloned entry determining reference next index master entry points clone entry uncloning clone entry cloned data replacing reference next index located first subentry plb replacing reference master index located second subentry plb uncloning master entry cloned data replacing reference next index located third subentry plb replacing reference master index located fourth subentry plb wherein each plb comprises map logical block addresses lbas physical address 18 system providing improved copy write functionality within ssd system comprising first device wherein first device includes stored instructions stored memory instructions comprising determining clone entry cloned data only clone entry wherein determination comprises determining reference next index cloned entry matches reference master index cloned entry determining reference next index master entry points clone entry uncloning clone entry cloned data replacing reference next index located first subentry plb replacing reference master index located second subentry plb uncloning master entry cloned data replacing reference next index located third subentry plb replacing reference master index located fourth subentry plb wherein each plb comprises map logical block addresses lbas physical address 19 system claim 18 wherein references comprise entries flat indirection table logical block addressing 20 system claim 18 wherein first device comprises peripheral component interconnect express pcie device 21 system claim 18 further comprising instruction set indicator one more packed logical blocks located master entry cloned entry indicate one more packed logical blocks cloned,2
multireflecting mass spectrometer high throughput method embodiments provided tandem mass spectrometer designed extremely large charge throughput 1e10ionsec one operation mode initial ion flow wide mz range time separated trap array array ejects ions narrower momentarily mz range ion flow collected confined wide bore ion channel limited time spread ion flow narrow mz range analyzed multireflecting tof frequent timeencoded operation orthogonal accelerator thus forming multiple non overlapping spectral segments another mode time separated ions subjected fragmentation comprehensive allmass msms analysis momentarily ion flow mrtof entrance characterized lower spectral population which allows efficient decoding overlapping spectra modes combined conventional spectrometer operation improve dynamic range provide practical solution proposed multiple novel components comprising trap arrays wide bore confining channels resistive multipole long life tof detector 115 canceled 16 array identical linearly extended quadrupolar ion traps each trap comprising least four main electrodes extended one z direction form quadrupolar field least centerline region oriented along zaxis wherein zaxis either straight curved radius much larger compared distance between said electrodes ion ejection slit least one said main electrodes said slit aligned said zdirection zedge electrodes located zedges said quadrupolar trap form electrostatic ion plugging said zedges said zedge electrodes segment main electrodes annular electrodes rf generator providing rf signals opposite phases form quadrupolar rf field least centerline region main electrodes variable dc supply providing dc signals least two rods form quadrupolar dc field weaker dipolar dc field least centerline region main electrodes dc rf ac supply connected said zedge electrodes provide axial ztrapping gas supply pumping means provide gas pressure range 1 100 mtor wherein said variable dc supply means ramping said quadrupolar potential thus causing sequential ion ejection via said slit reverse relation ion mz wherein said trap array further comprises wide bore rf channel dc gradient ion collection transfer spatial confinement past said slits quadrupolar traps dimension said rf channel defined trap sizes topology gas pressure 17 trap array claim 16 wherein said individual traps aligned form ion emission surface either planar least partially cylindrical partially spherical more efficient ion collection transfer said wide bore rf channel 18 ion guide comprising electrodes extended one zdirection said zaxis either straight curved radius much larger compared distance between said electrodes said electrodes made either carbon filled ceramic resistors silicon carbide boron carbide form bulk resistance specific resistance between 1 1000 ohmcm conductive zedges each electrodes insulating coating one side each rod said coatings oriented away guide inner region surrounded said electrodes least one conductive track per electrode attached top said insulating coating said conductive track connected one conductive electrode edge rf generator having least two sets secondary coils dc supplies connected central taps said sets secondary coils thus providing least four distinct signals dc1sinwt dc2sinwt dc1sinwit dc2sinwt said signals connected electrode ends create alternated rf phase between adjacent electrodes axial dc gradient along electrodes 19 ion guide claim 18 wherein said dc voltages pulsed fast adjusted time constant comparable longer period said rf signal 20 ion guide claim 18 wherein said electrodes either circular rods plates 21 long life timeofflight detector comprising conductive converter surface exposed parallel time front detected ion packets generating secondary electrons least one electrode side window converter negatively floated compared surrounding electrodes voltage difference between 100 10000v least two magnets magnetic field strength between 10 1000 gauss bending electron trajectories scintillator floated positively compared said converter surface 1 kv 20 kv located past said electrode window 45 180 degrees relative said converter sealed photomultiplier past scintillator 22 detector claim 20 wherein either said scintillator made antistatic material said scintillator covered mesh removing charge scintillator surface,2
runflat device fitting method runflat device method fitting runflat device runflat device include chain segments which flexible enough manipulated fitting also laterally stable ensure correct positioning avoid misalignment when tightening onto wheel fitting method initially expands runflat device within cavity tyre retaining runflat device securely place against inside tyres tread area advantageously leaves beads tyre unobstructed fitting wheel 118 canceled 19 method fitting runflat device comprising flexible body having two ends method comprising steps coiling flexible body diameter smaller interior diameter tyre inserting coiled body cavity tyre uncoiling body within tyre cavity connecting ends body adjustable connection means thereby forming ring expanding ring adjustable connection means thereby locating ring against inside tread area tyre 20 method fitting runflat device according claim 19 further comprising step fitting outer sleeve flexible body before coiling flexible body 21 method fitting runflat device according claim 19 further comprising step fitting tyre wheel expanding ring subsequently tightening adjustable connection means thereby tightening ring locate locating runflat device wheel abutment beads tyre 22 method fitting runflat device according claim 21 further comprising steps positioning adjustable connection means adjacent valve hole wheel accessing adjustable connection means via valve hole 23 method fitting runflat device according claim 22 comprising additional step further tightening adjustable connection means thereby deforming flexible body forcing parts flexible body against beads tyre 24 canceled 25 method fitting runflat device according claims 19 wherein flexible body formed chain individual segments joined together abutment one another chain flexible ends chain joined together adjustable connection means which adjusts distance between ends chain thereby forms ring body diameter adjustable,1
system method facilitating secure self payment transactions retail goods disclosed herein various embodiments systems methods selfpayment verification purchase retail goods services according embodiment invention method verifying purchase using mobile electronic device wireless communication payment verification system code generating system provided method comprising steps receiving consumer information identifying item purchase receiving consumer information identifying payment means purchasing item purchase processing information identifying item purchase information identifying payment means generating unique qr code indicating purchase item sending unique qr code mobile device display consumer vendor item purchase 17 canceled 8 method instore selection purchase goods service wherein steps method implemented consumers mobile device method comprising following steps obtaining product identifier item sending query remote server product information relating item query including product identifier receiving response query response including product information item processing request consumer add item list goods services purchased consumer receiving set data identifying payment means purchase goods services transmitting remote server request purchase goods services wherein request includes identifying information goods services purchased consumer identifier set data identifying payment means receiving response remote server authorizing purchase goods services response including token uniquely corresponds consumers purchase goods services providing token retailer electronic device verification consumers instore purchase goods services 9 method claim 8 wherein product information includes restrictions associated item wherein step processing request consumer add item list items purchased instore customer comprises processing restrictions associated item determine item added list items purchased notifying consumer restrictions not permit consumer add item list items purchased 10 method claim 8 wherein step processing request consumer add item list items purchased instore customer comprises determining addition would exceed transaction limits 11 method claim 8 wherein step processing request consumer add item list items purchased instore customer comprises determining addition would exceed item value limits 12 method claim 8 wherein product information includes information concerning antitheft tags item further comprising step notifying consumer need request antitheft tag deactivation 13 method claim 8 wherein step providing token retailer electronic device verification consumers instore purchase goods services comprises displaying representation token display mobile device capture retailer electronic device 14 method claim 11 wherein representation token form quick response qr code 15 method claim 8 wherein step providing token retailer electronic device verification consumers instore purchase goods services comprises steps establishing wireless connection retailer electronic device wirelessly transmitting token retailer electronic device 16 method claim 13 wherein wireless connection form nearfield communication nfc connection 17 method claim 8 wherein response query further includes item suggestions wherein said item suggestions determined based consumer profile data 18 method claim 8 further comprising step prompting consumer enter least one following prior step transmitting remote server request purchase goods services personal pin password unique identifier 19 method claim 8 further comprising steps detecting mobile device near participating retailer displaying notification consumer near retailer 20 method claim 8 further comprising step displaying display mobile device product information where product information includes price item 21 method claim 8 wherein step obtaining product identifier item comprises optically scanning representation product identifier 22 method claim 8 wherein step obtaining product identifier item comprises capturing image item 23 method claim 8 wherein request purchase goods service further comprises device identifier authentication purposes 24 method claim 8 further comprising step confirming receipt token 25 method instore selection purchase goods service wherein steps method implemented consumers mobile device method comprising following steps obtaining product identifier item sending query remote server product information relating item query including product identifier receiving response query response including product information item processing request consumer add item list goods services purchased consumer receiving set data identifying payment means purchase goods services transmitting remote server request purchase goods services wherein request includes identifying information goods services purchased consumer identifier set data identifying payment means receiving response remote server authorizing purchase goods services response including token uniquely corresponds consumers purchase goods services response further indicating whether spot check necessary consumers purchase goods services displaying indication consumer regarding whether consumer may leave store 26 method claim 22 further comprising steps determining mobile device located within retailer store transmitting location information server upon leaving designated area order indicate consumer left store since purchasing goods services 27 method instore selection purchase goods service wherein steps method implemented consumers mobile device method comprising following steps obtaining product identifier item sending query remote server product information relating item query including product identifier receiving response query response including product information item processing request consumer add item list goods services purchased consumer receiving set data identifying payment means purchase goods services transmitting remote server request purchase goods services wherein request includes identifying information goods services purchased consumer identifier set data identifying payment means receiving response remote server authorizing purchase goods services response including token uniquely corresponds consumers purchase goods services transmitting request store inventory database deactivate antitheft tags associated goods services,3
