clean_text,novelty tier
semiconductor device fabrication method thereof semiconductor device includes first finshaped structure second finshaped structure which separately disposed semiconductor substrate each first second finshaped structure includes base portion top portion protruding top portion base portion second finshaped structure wider top portion second finshaped structure top portion second finshaped structure wide top portion first finshaped structure each second finshaped structure further includes recessed region sidewall method fabricating semiconductor device comprising providing semiconductor substrate having first region second region forming patterned mask first second region semiconductor substrate etching semiconductor substrate using patterned mask etch mask form patterned structure surface semiconductor substrate forming spacer disposed sidewall patterned structure second region etching semiconductor substrate using patterned mask spacer etch mask form plurality finshaped structure first second region semiconductor substrate forming first mask layer covering finshaped structure first region forming oxide layer sidewall finshaped structure exposed first mask layer patterned mask spacer second region removing oxide layer number finshaped structure second region base portion narrower top portion other finshaped structure second region base portion wider top portion method claim before step forming spacer further comprising depositing material layer conformally covering finshaped structure forming second mask layer covering material layer second region material layer first region exposed mask layer etching material layer first region using second mask layer etch mask method claim wherein finshaped structure comprise plurality first finshaped structure disposed semiconductor substrate wherein each first finshaped structure comprises base portion disposed semiconductor substrate top portion extending base portion first finshaped structure wherein top portion each first finshaped structure ha first width plurality second finshaped structure disposed semiconductor substrate wherein each second finshaped structure comprises base portion disposed semiconductor substrate top portion extending base portion second finshaped structure wherein top portion each second finshaped structure ha first width recessed region disposed sidewall each second finshaped structure method claim wherein finshaped structure separately disposed semiconductor substrate method claim wherein top portion first finshaped structure equal width method claim further comprising depositing dielectric layer cover finshaped structure performing etching process until each finshaped structure partially protrudes top surface dielectric layer method claim step forming finshaped structure further comprising removing spacer depositing gate dielectric layer conformally covering finshaped structure depositing gate electrode layer covering gate dielectric layer patterning gate dielectric layer gate electrode layer form gate structure,0
sensor transmitter wheel position detection apparatus tire pressure monitoring system provided same wheel position detection apparatus applicable vehicle which four wheel provided tire attached vehicle body provided sensor transmitter receiver sensor transmitter each include acceleration sensor first control portion detects position corresponding wheel basis acceleration thereof creates transmits frame which data indicating result wheel position detection stored receiver provided vehicle body includes receiving portion receives each transmitted frame mean receiving antenna second control portion identifies whether sensor transmitter ha transmitted each frame attached right wheel left wheel among four wheel wheel position detection apparatus applied vehicle including vehicle body four wheel attached vehicle body each four wheel equipped tire wheel position detection apparatus comprising sensor transmitter attached each four wheel sensor transmitter including acceleration sensor detects acceleration detecting direction shifted circumferentially predetermined angle respect radial direction corresponding one four wheel first control portion performs wheel position detection based acceleration detected acceleration sensor generates transmits frame storing data indicative result wheel position detection receiver provided vehicle body receiver including receiving portion receives frame transmitted each sensor transmitter via receiving antenna second control portion determines whether each sensor transmitter ha transmitted frame attached one right wheel left wheel four wheel basis data indicative result wheel position detection obtained frame received wherein first control portion calculates tilt angle based acceleration detected acceleration sensor tilt angle corresponding predetermined angle which acceleration sensor shifted circumferentially respect radial direction first control portion estimate whether sensor transmitter including first control portion attached one right wheel left wheel wheel position detection apparatus according claim wherein first control portion calculates tilt angle when first control portion detects vehicle speed constant based acceleration detected acceleration sensor wheel position detection apparatus according claim wherein first control portion estimate whether sensor transmitter including first control portion attached one right wheel left wheel when first control portion detects deceleration acceleration detected acceleration sensor wheel position detection apparatus according claim wherein first control portion estimate whether sensor transmitter including first control portion attached one right wheel left wheel basis calculation quadratic function approximates quadratic function median value amplitude calculation value acceleration case where acceleration sensor attached corresponding one wheel tilt angle measurement quadratic function approximates quadratic function median value amplitude value actually detected acceleration sensor wheel position detection apparatus according claim wherein first control portion calculates value related related effective tire radius coefficient quadratic term calculation quadratic function coefficient quadratic term measurement quadratic function store data value related effective tire radius frame transmits frame second control portion compare effective tire radius based data value related effective tire radius stored frame transmitted sensor transmitter determined attached right wheel determines one sensor transmitter ha transmitted data including smaller effective tire radius attached right front wheel another one sensor transmitter ha transmitted data including larger effective tire radius attached right rear wheel second control portion further compare effective tire radius transmitted sensor transmitter determined attached left wheel determines one sensor transmitter ha transmitted data including smaller effective tire radius attached left front wheel another one sensor transmitter ha transmitted data including larger effective tire radius attached left rear wheel wheel position detection apparatus according claim wherein first control portion store value related effective tire radius obtained during acceleration during deceleration based acceleration detected acceleration sensor compare absolute value value related effective tire radius obtained during acceleration during deceleration determines sensor transmitter including first control portion attached one front wheel when value obtained during acceleration smaller value obtained during deceleration sensor transmitter including first control portion attached one rear wheel when value obtained during acceleration larger value obtained during deceleration wheel position detection apparatus according claim wherein coefficient quadratic term measurement quadratic function coefficient linear term measurement quadratic function constant term measurement quadratic function acceleration vehicle initial speed vehicle speed rim diameter each four wheel effective tire radius θset tilt angle first control portion substitute measurement value expression calculate arw where expression co set substitute measurement value expression calculate vrw where expression co set substitute arw vrw expression obtains both case where first term expression ha plus sign minus sign selects correct sign one plus sign minus sign produce value closer value constant term measurement quadratic function estimate sensor transmitter including first control portion attached one right wheel when correct sign plus sign sensor transmitter including first control portion attached one left wheel when correct sign minus sign where expression sin set co set sensor transmitter wheel position detection apparatus according claim tire pressure monitoring system comprising wheel position detection apparatus according claim wherein sensor transmitter further comprises sensing portion output detection signal corresponding air pressure tire attached corresponding one four wheel store frame information tire air pressure resulting signal processing performed first control portion detection signal sensing portion transmits frame receiver second control portion receiver detects air pressure tire attached each four wheel information tire air pressure,2
system simplified generation system broad area geospatial object detection system simplified generation system analysis satellite image geolocate one more object interest plurality training image labeled study object object irrelevant feature loaded preexisting feature identification subsystem cause automated generation model study object model used parameterize preengineered machine learning element running preprogrammed machine learning protocol training image study used train object recognition filter filter used identify study object unanalyzed image system report result requestors preferred format system simplified generation system broad area geospatial object detection comprising object model creation module comprising processor memory plurality programming instruction stored memory operable processor wherein plurality programming instruction receives plurality labeled positive training orthorectified geospatial image least some which object interest ha identified retrieves plurality labeled negative training orthorectified geospatial image where object not object interest least one which closely resembles object interest identified programmatically isolates feature found object interest not irrelevant training object creates least one object interest classification model using feature unique object interest machine learning classifier training verification computer comprising processor memory plurality programming instruction stored memory operable processor wherein plurality programming instruction accepts least one classification model retrieves plurality labeled unlabeled orthorectified geospatial training image each comprising object interest train plurality prebuilt machine learning classifier element each running preprogrammed machine learning protocol parameterized classification model using plurality labeled unlabeled orthorectified geospatial training image each comprising object interest each trained machine learning classifier element verifies performance classifying object interest using plurality unlabeled orthorectified geospatial training image comprising object interest plurality unlabeled orthorectified geospatial training image not contain object interest modelbased object classifier comprising processor memory plurality programming instruction stored memory operable processor wherein plurality programming instruction retrieve plurality trained machine learning element object interest analyzes plurality resolution scalecorrected unanalyzed orthorectified geospatial image segment presence least one object interest report presence location any object interest found method simplified generation system broad area geospatial object detection step comprising retrieving plurality color spectrally optimized geospatial training image comprising object interest clearly labeled second plurality color spectrally optimized geospatial training image not contain object interest isolate set visual feature unique object interest using preengineered object model creation module comprising processor memory plurality programming instruction stored memory operable processor employing set visual feature unique object interest parameterize least one preengineered machine learning classifier element running least one preprogrammed machine learning programming protocol using machine learning classifier element training verification module comprising processor memory plurality programming instruction stored memory operable processor training preengineered machine learning classifier element identify object interest using plurality training geospatial image object interest labeled one subset not labeled second subset within machine learning classifier element training verification module refining confirming fine specificity trained machine learning classifier element object interest exclusion other object using geospatial training image not containing object interest some which comprise other irrelevant object analyzing previously unanalyzed scale corrected geospatial image presence object interest using trained machine learning classified element reporting result study format predetermined study author,2
semiconductor device method manufacturing semiconductor device semiconductor device plurality small depression formed overlap each other first joining region back surface heat releasing plate streaky scratch like created back surface heat releasing plate removed reduced forming small depression overlapping each other heat releasing plate addition when small depression formed first joining region back surface heat releasing plate hardness first joining region back surface increase hence scratch prevented created back surface heat releasing plate which depression formed overlap each other first joining region back surface semiconductor device comprising semiconductor chip heat releaser laminate substrate including electrical insulating board having front surface back surface circuit board having front surface back surface disposed front surface electrical insulating board semiconductor chip mounted front surface circuit board metal plate disposed back surface electrical insulating board heat releasing plate having front surface back surface metal plate laminate substrate joined front surface heat releasing plate via joint member disposed therebetween heat releaser joined back surface heat releasing plate via heat releasing material disposed therebetween plurality depression formed partially overlap one another plan view least one first joining region second joining region third joining region wherein first joining region region back surface heat releasing plate which heat releaser joined second joining region region metal plate laminate substrate which heat releasing plate joined third joining region region front surface heat releasing plate which metal plate laminate substrate joined semiconductor device according claim wherein arithmetic average roughness least one first joining region second joining region third joining region range semiconductor device according claim wherein vickers hardness least one first joining region second joining region third joining region range semiconductor device according claim wherein deflection change amount heat releasing plate range semiconductor device according claim wherein plurality depression formed each first joining region second joining region third joining region semiconductor device comprising semiconductor chip laminate substrate including electrical insulating board having front surface back surface circuit board having front surface back surface disposed front surface electrical insulating board semiconductor chip mounted front surface circuit board metal plate disposed back surface electrical insulating board lead frame having joining region which semiconductor chip joined via joint member disposed therebetween lead frame having plurality depression formed partially overlap one another plan view joining region semiconductor device according claim wherein arithmetic average roughness joining region lead frame range semiconductor device according claim wherein vickers hardness joining region lead frame range semiconductor device according claim wherein deflection change amount heat releasing plate range method manufacturing semiconductor device comprising preparing heat releasing plate laminate substrate including electrical insulating board circuit board disposed front surface electrical insulating board metal plate disposed back surface electrical insulating board performing assembly includes joining metal plate laminate substrate front surface heat releasing plate using joint member disposed therebetween mounting semiconductor chip circuit board laminate substrate attaching heat releaser first joining region back surface heat releasing plate using heat releasing material disposed therebetween performing form plurality depression partially overlapped one another plan view shot peening process least one first joining region heat releasing plate preparing laminate substrate heat releasing plate before assembly assembly before attaching heat releaser second joining region metal plate laminate substrate which front surface heat releasing plate joined preparing laminate substrate heat releasing plate before assembly third joining region front surface heat releasing plate which metal plate laminate substrate joined preparing laminate substrate heat releasing plate before assembly method manufacturing semiconductor device according claim wherein average particle diameter shot used shot peening process range method manufacturing semiconductor device according claim wherein ultrasonic wave amplitude shot peening process method manufacturing semiconductor device according claim wherein vibration time shot peening process second method manufacturing semiconductor device comprising preparing lead frame laminate substrate including electrical insulating board circuit board disposed front surface electrical insulating board metal plate disposed back surface electrical insulating board performing form plurality depression partially overlapped one another plan view shot peening process joining region lead frame which semiconductor chip joined performing assembly includes mounting semiconductor chip circuit board laminate substrate joining semiconductor chip joining region using joint member disposed therebetween method manufacturing semiconductor device according claim wherein average particle diameter shot used shot peening process range method manufacturing semiconductor device according claim wherein ultrasonic wave amplitude shot peening process method manufacturing semiconductor device according claim wherein vibration time shot peening process second,0
method system proxying data method system provided proxying data between application server client device one exemplary application system includes application server generate virtual application proxy server coupled application server network provide virtual application client device proxy server receives input data client device provides input data application server wherein application server encodes input data action response authenticating proxy server provides data encoded action proxy server proxy server performs action data provides result client device method storing data application server preserve privacy one more data item method including receiving privacy proxy server data representing user input first data stored application server least one second data determined privacy proxy server encrypted based upon rule specifying privacy interest appropriate jurisdiction stored application server forwarding first data second data encrypted indicator indicates encryption second data application server store privacy proxy server querying application server report includes second data encrypted first data ha not encrypted receiving application server report comprising first data report format second data encrypted report format placeholder decrypting second data replacing report format placeholder decrypted second data providing authorized requestor report decrypted second data method claim wherein decrypting second data replacing report format placeholder includes privacy proxy server detecting malicious code performing remedial action thereby preventing execution malicious code client method claim wherein report format placeholder identifies one more postdecryption action bypassed application server method claim wherein privacy proxy server performs postdecryption action second data decrypted method claim wherein decrypting second data replacing report format placeholder further includes distinguishing unique identifier associated application server utilizing unique identifier identify operator code generated application server potentially malicious code method claim wherein encrypting second data report format placeholder further includes marking report format placeholder unique identifier associated application server method claim wherein decrypting second data replacing report format placeholder further includes distinguishing second data report format placeholder based encoding authentication protocol established between privacy proxy server application server nontransitory computerreadable medium storing computer executable instruction configured cause processor perform operation including receiving privacy proxy server data representing user input first data stored application server least one second data determined privacy proxy server encrypted based upon rule specifying privacy interest appropriate jurisdiction stored application server forwarding first data second data encrypted indicator indicates encryption second data application server store privacy proxy server querying application server report includes second data encrypted first data ha not encrypted receiving application server report comprising first data report format second data encrypted report format placeholder decrypting second data replacing report format placeholder decrypted second data providing authorized requestor report decrypted second data computerreadable medium claim wherein decrypting second data replacing report format placeholder includes privacy proxy server detecting malicious code performing remedial action thereby preventing execution malicious code client computerreadable medium claim wherein decrypting second data replacing report format placeholder further includes distinguishing unique identifier associated application server utilizing unique identifier identify operator code generated application server potentially malicious code computerreadable medium claim wherein encrypting second data report format placeholder further includes marking report format placeholder unique identifier associated application server computerreadable medium claim wherein decrypting second data replacing report format placeholder further includes distinguishing second data report format placeholder based encoding authentication protocol established between privacy proxy server application server method processing data stored application server preserve privacy one more data field method including receiving privacy proxy server data representing user input first data stored application server least one second data determined privacy proxy server encrypted based upon rule specifying privacy interest appropriate jurisdiction stored application server forwarding first data second data encrypted indicator indicates encryption second data application server store privacy proxy server querying application server report includes second data encrypted first data ha not encrypted receiving application server report comprising first data report format second data encrypted report format placeholder decrypting second data replacing report format placeholder decrypted second data providing authorized requestor report decrypted second data method claim wherein report format placeholder identifies one more postdecryption action bypassed application server method claim further including using application server generate code web page browser application running client device wherein code includes encrypted second data within web page encrypted second data marked least one postdecryption action bypassed application server method claim wherein using application server format encrypted second data report format placeholder further includes marking report format placeholder unique identifier associated application server method claim wherein using application server encrypt encrypted second data report format placeholder further includes hashing report format placeholder hexadecimal representation providing hexadecimal representation parameter postdecryption function,3
smart renewable energy system grid source flexibility method apparatus disclosed relating smart renewable power generation system grid source flexibility intelligently selectively pull power one multiple source including solar panel wind generator battery based certain criterion invert power power supply power electric grid offgrid electric circuit power load supply power through one multiple output port power load charge battery various type ongrid offgrid onoffgrid flexible power inverter described demonstrate innovation delivering flexible costeffective userfriendly power generation system harvest any form renewable energy available convert usable electricity scalable power inversion system providing power electric grid plurality individual power source each having output port comprising lease one ongrid power inverter each having ongrid output port multiple input port constructed arranged connected multiple power source including least one photovoltaic solar panel least one wind generator least one battery any combination thereof each power inverter constructed arranged pull power one multiple input port based predefined source selection criterion ongrid output port each inverter combined parallel supply power grid whereby said system incrementally scalable adding subtracting power source inverter scalable power inversion system claim which source selection criterion each ongrid power inverter comprises maximizing harvest solar wind energy supplying generated power electric grid pulling power stop pulling power battery based power dispatch command independent grid system operator iso manages electric grid generated power ramped down grid stabilization charging battery when excess power solar wind scalable power inversion system claim which output each said power inverter singlephase threephase method making onoffgrid source flexible power generation system incrementally scalable comprising providing plurality power source plurality onoffgrid power inverter each having ongrid output port offgrid output port least one input port connecting input port multiple source including least one photovoltaic solar panel least one wind generator least one battery any combination thereof pulling power connected source based predefined source selection criterion providing power electric grid through said ongrid output port when grid providing power one multiple load individually through said offgrid output port each inverter when grid down method claim further comprising each said inverter having ongrid input port combining said ongrid output port all inverter together daisychaining inverter said ongrid output port each inverter connected daisy chain ongrid input port next inverter except ongrid output port first inverter connected electric grid ongrid input port last inverter left open providing power electric grid through ongrid output port first inverter when grid method claim further comprising combining said offgrid output port all inverter together total produced power summation power supplied each inverter providing power one multiple load through combined offgrid output port when grid down method claim which source selection criterion comprises maximizing harvest solar wind energy supplying generated power electric grid when grid providing sufficient power run connected load without using battery power when grid down pulling power battery meet power demand when solar wind cannot produce sufficient power system run connected load charging battery when excess power solar wind method claim which source selection criterion further comprises pulling power stop pulling power battery based power dispatch command independent grid system operator iso manages electric grid generated power ramped down grid stabilization when grid method claim which output each said power inverter singlephase threephase method claim further comprising connecting first power source one said power input port one said power inverter connecting second power source different kind said first power source another said power input port said one power inverter,2
charged particle beam apparatus charged particle beam device provided performs proper beam adjustment suppressing decrease mam time simple configuration without adding lens sensor like charged particle beam device includes optical element which adjusts charged particle beam emitted charged particle source adjustment element which adjusts incidence condition charged particle beam respect optical element control device which control adjustment element wherein control device determines difference between first feature amount indicating state optical element based condition setting optical element second feature amount indicating state where optical element reach based condition setting executes adjustment adjustment element when difference greater equal predetermined value charged particle beam device comprising optical element which adjusts charged particle beam emitted charged particle source adjustment element which adjusts incidence condition charged particle beam respect optical element control device which control adjustment element wherein control device continuously track calculates temperature fluctuation optical element based condition setting incidence condition charged particle beam respect optical element charged particle beam device according claim wherein temperature fluctuation indicates degree deviation equilibrium temperature optical element charged particle beam device according claim wherein control device obtains difference between predetermined threshold stored control device degree deviation executes adjustment adjustment element when difference equal larger predetermined value charged particle beam device according claim wherein control device store date time degree deviation when adjustment executed charged particle beam device according claim wherein predetermined threshold set condition setting incidence condition length measurement recipe measurement target pattern charged particle beam device according claim further comprising editing screen which predetermined threshold set charged particle beam device according claim wherein incidence condition acceleration voltage incidence current depth focus charged particle beam device according claim wherein control device executes length measurement measurement point based length measurement recipe executing adjustment adjustment element charged particle beam device according claim wherein control device display screen result execution adjustment adjustment element time history temperature fluctuation charged particle beam device according claim wherein control device display screen length measurement value resolution focus value wavelength reproducibility time history temperature fluctuation charged particle beam device according claim wherein control device calculates equilibrium temperature optical element based condition setting incidence condition optical element,0
channel estimation method base station user equipment system channel estimation method base station user equipment system provided method includes setting base station connection user equipment sending notification information indicating radio remote scenario where notification information used instruct perform channel estimation using channel estimation algorithm applicable radio remote scenario channel estimation algorithm used perform channel estimation signal obtained downlink signal multiple radio remote unit rrus superposed perform channel estimation using appropriate channel estimation algorithm effectively improve accuracy channel estimation thereby effectively improving downlink data throughput information sending method comprising setting base station connection user equipment sending notification information indicating radio remote scenario wherein notification information used instruct perform channel estimation using channel estimation algorithm applicable radio remote scenario channel estimation algorithm used perform channel estimation signal obtained downlink signal multiple radio remote unit rrus superposed canceled method according claim wherein sending notification information comprises sending radio resource control rrc dedicated signaling wherein first indicator bit rrc dedicated signaling used indicate radio remote scenario method according claim wherein before sending notification information method further comprises determining highspeed moving state channel estimation method comprising receiving user equipment notification information wherein notification information indicates radio remote scenario performing according notification information channel estimation using channel estimation algorithm applicable radio remote scenario wherein channel estimation algorithm used perform channel estimation signal obtained downlink signal multiple radio remote unit rrus superposed method according claim wherein performing channel estimation signal comprises determining delay doppler shift downlink signal each multiple rrus performing delay frequency compensation downlink signal each rru according delay doppler shift determining wiener coefficient compensated signal performing channel estimation using wiener coefficient method according claim wherein receiving notification information comprises receiving radio resource control rrc dedicated signaling wherein first indicator bit rrc dedicated signaling used indicate radio remote scenario base station comprising processor configured control communication interface set connection user equipment communication interface configured send notification information indicating radio remote scenario wherein notification information used instruct perform channel estimation using channel estimation algorithm applicable radio remote scenario channel estimation algorithm used perform channel estimation signal obtained downlink signal multiple radio remote unit rrus superposed canceled base station according claim wherein communication interface configured send radio resource control rrc dedicated signaling wherein first indicator bit rrc dedicated signaling used indicate radio remote scenario base station according claim wherein processor further configured before communication interface sends notification information indicating radio remote scenario determine highspeed moving state user equipment comprising communication interface configured receive notification information wherein notification information indicates radio remote scenario processor configured perform according notification information received communication interface channel estimation using channel estimation algorithm applicable radio remote scenario wherein channel estimation algorithm used perform channel estimation signal obtained downlink signal multiple radio remote unit rrus superposed according claim wherein processor configured determine delay doppler shift downlink signal each multiple rrus perform delay frequency compensation downlink signal each rru according delay doppler shift determine wiener coefficient compensated signal perform channel estimation using wiener coefficient according claim wherein communication interface configured receive radio resource control rrc dedicated signaling wherein first indicator bit rrc dedicated signaling used indicate radio remote scenario method according claim wherein sending notification information comprises sending system message wherein second indicator bit system message used indicate radio remote scenario method according claim wherein sending notification information comprises sending system message wherein system message carry cell identity radio remote coverage cell method according claim wherein receiving notification information comprises receiving system message wherein second indicator bit system message used indicate radio remote scenario method according claim wherein receiving notification information comprises receiving system message wherein system message carry cell identity radio remote coverage cell base station according claim wherein communication interface configured send system message wherein second indicator bit system message used indicate radio remote scenario base station according claim wherein communication interface configured send system message wherein system message carry cell identity radio remote coverage cell according claim wherein communication interface configured receive system message wherein second indicator bit system message used indicate radio remote scenario according claim wherein communication interface configured receive system message wherein system message carry cell identity radio remote coverage cell,2
wireless communication method device wireless communication method includes determining radio resource wireless communication where radio resource least includes first resource set second resource set having different attribute determine according content andor type message carried signal sent resource set used sending signal sent selecting resource determined resource set send signal sent method ensures delay requirement high reliability specific signal transmission reduces probability signal collision improves reliability signal transmission wireless communication method comprising determining radio resource wireless communication wherein radio resource comprises least first resource set second resource set including different attribute determining according content andor type message carried signal sent resource set used sending signal sent selecting resource determined resource set send signal sent method claim wherein determining according content message carried signal sent resource set used sending signal sent comprises response determining content message meet preset condition determining first resource set used sending signal sent response determining content message doe not meet preset condition determining first resource set second resource set used sending signal sent determining second resource set used sending signal sent method claim wherein determining according content message carried signal sent resource set used sending signal sent comprises selecting resource determined second resource set send signal response determining content message carried signal sent meet preset condition switching first resource set send signal sent stopping sending signal sent through second resource set method claim wherein determining according type message carried signal sent resource set used sending signal sent comprises response determining type message includes periodic message determining first resource set used sending signal sent response determining type message includes burst message determining second resource set used sending signal sent response determining type message includes number transmission message resource period response determining number transmission message less equal first threshold determining first resource set used sending signal sent response determining number transmission message greater first threshold determining second resource set used sending signal sent response determining type message includes size load message response determining size load message doe not exceed second threshold determining first resource set used sending signal sent response determining size load message exceeds second threshold determining second resource set used sending signal sent response determining type message includes format message wherein format message determined size load message andor determined whether load message variable determining according format message resource set used sending signal sent response determining type message includes firsttime transmission determining first resource set used sending signal sent response determining type message includes retransmission determining second resource set used sending signal sent method claim wherein determining according content andor type message carried signal sent resource set used sending signal sent comprises response determining duration sending signal through resource selected determined second resource set reach preset maximum duration signal ha consecutively sent through resource selected determined second resource set preset maximum time switching first resource set send signal sent stopping sending signal sent through second resource set canceled method claim wherein selecting resource determined resource set send signal sent comprises determining according sending probability whether select resource determined resource set current resource period send signal sent determining according size backoff window resource period sending signal sent selecting resource determined resource set according determined resource period send signal sent selecting resource determined resource set send signal sent comprises response determining determined resource set includes first resource set determining according sending probability whether select resource first resource set current resource period send signal sent determining according size backoff window resource period sending signal sent selecting resource first resource set according determined resource period send signal sent andor response determining determined resource set includes second resource set each resource period within validity period sending signal sent selecting resource second resource set send signal sent canceled method claim further comprising monitoring signal one more resource period determined resource set determining according monitored resource load probability sending signal one more resource period determining backoff window according monitored resource load wherein monitored resource load determined one more following measurement signal reception power signal successful reception rate radio resource method claim further comprising monitoring signal one more resource period determined resource set determining according monitored resource load sending power sending signal one more resource period wherein monitored resource load determined one more following measurement signal reception power signal successful signal rate radio resource wherein selecting resource determined resource set send signal sent comprises selecting resource determined resource set send using sending power signal sent method claim wherein selecting resource determined resource set comprises randomly selecting resource determined resource set selecting resource determined resource set according selection probability each resource wherein selection probability each resource predetermined determined monitoring signal energy each resource determined resource set one more resource period determined resource set determining probability selected sending signal each resource according signal energy method claim wherein second resource set comprises plurality resource subset different resource subset plurality resource subset used different group sending terminal send signal response determining signal sent sent through second resource set resource subset used sending signal sent determined according group information wireless communication device comprising first determiner configured determine radio resource wireless communication wherein radio resource comprises least first resource set second resource set including different attribute second determiner configured determine according content andor type message carried signal sent resource set used sending signal sent sender configured select resource determined resource set send signal sent device claim wherein second determiner further configured determine according content message carried signal sent resource set used sending signal sent through following way response determining content message meet preset condition determining use first resource set sending signal sent response determining content message doe not meet preset condition determining use first resource set second resource set sending signal sent determining use second resource set sending signal sent device claim wherein second determiner further configured determine according content message carried signal sent resource set used sending signal sent through following way resource sending signal selected determined second resource set response determining content message carried signal sent meet preset condition switching first resource set send signal sent stopping sending signal sent through second resource set device claim wherein second determiner further configured determine according type message carried signal sent resource set used sending signal sent through following way response determining type message includes periodic message determining use first resource set sending signal sent response determining type message includes burst message determining use second resource set sending signal sent response determining type message includes number transmission message resource period response determining number transmission message less equal first specified value determining use first resource set sending signal sent response determining number transmission message greater first specified value determining use second resource set sending signal sent response determining type message includes size load message response determining size load message doe not exceed second specified value determining use first resource set sending signal sent response determining size load message exceeds second specified value determining use second resource set sending signal sent response determining type message includes format message wherein format message determined size load message andor determined whether load message variable determining resource set used sending signal sent according format message response determining type message includes firsttime transmission determining use first resource set sending signal sent response determining type message includes retransmission determining use second resource set sending signal sent device claim wherein second determiner further configured determine according content andor type message carried signal sent resource set used sending signal sent through following way response determining duration sending signal via resource selected determined second resource set reach preset maximum duration signal ha consecutively sent through resource selected determined second resource set preset maximum time switching first resource set send signal sent stopping signal sent sent via second resource set canceled device claim wherein sender further configured select resource determined resource set through following way send signal sent determining according sending probability select resource determined resource set current resource period send signal sent determining resource period sending signal sent according size backoff window selecting resource determined resource set according determined resource period send signal sent sender further configured select resource determined resource set through following way send signal sent response determining determined resource set includes first resource set determining according sending probability select resource first resource set current resource period send signal sent determining resource period sending signal sent according size backoff window selecting resource first resource set according determined resource period send signal sent andor response determining determined resource set includes second resource set each resource period within validity period sending signal sent selecting resource second resource set send signal sent canceled device claim further comprising monitor configured monitor signal one more resource period determined resource set determine according monitored resource load probability sending signal one more resource period determine backoff window according monitored resource load wherein monitored resource load determined one more following measurement signal reception power signal successful reception rate radio resource device claim wherein monitor further configured monitor signal one more resource period determined resource set determine according monitored resource load sending power sending signal one more resource period wherein monitored resource load determined one more following measurement signal reception power signal successful reception rate radio resource sender further configured select resource determined resource set send signal sent sending power device claim wherein sender configured select resource determined resource set through following way send signal sent resource randomly selected determined resource set resource selected determined resource set according selection probability each resource wherein selection probability each resource predetermined determined monitoring signal energy each resource determined resource set one more resource period determined resource set determining probability selected sending signal each resource according signal energy device claim wherein second resource set determined first determiner comprises plurality resource subset different resource subset plurality resource subset used different group sending terminal send signal second determiner further configured response determining signal sent sent via second resource set determine according group information resource subset used sending signal sent,1
